,0,date
0,0.562,2017-09-22
1,0.548,2017-09-29
2,0.652,2017-10-13
3,0.526,2017-10-20
4,0.526,2017-10-27
5,0.38,2017-11-03
6,0.464,2017-11-10
7,0.36,2017-11-17
8,0.338,2017-11-24
9,0.356,2017-12-01
10,0.316,2017-12-08
11,0.288,2017-12-15
12,0.294,2017-12-22
13,0.316,2017-12-29
14,0.36,2018-01-05
15,0.358,2018-01-12
16,0.302,2018-01-19
17,0.342,2018-01-26
18,0.234,2018-02-02
19,0.128,2018-02-09
20,0.18,2018-02-14
21,0.2,2018-02-23
22,0.256,2018-03-02
23,0.3,2018-03-09
24,0.292,2018-03-16
25,0.176,2018-03-23
26,0.272,2018-03-30
27,0.272,2018-04-04
28,0.274,2018-04-13
29,0.23,2018-04-20
30,0.26,2018-04-27
31,0.286,2018-05-04
32,0.314,2018-05-11
33,0.322,2018-05-18
34,0.316,2018-05-25
35,0.244,2018-06-01
36,0.228,2018-06-08
37,0.208,2018-06-15
38,0.138,2018-06-22
39,0.16,2018-06-29
40,0.112,2018-07-06
41,0.154,2018-07-13
42,0.172,2018-07-20
43,0.184,2018-07-27
44,0.126,2018-08-03
45,0.152,2018-08-10
46,0.1,2018-08-17
47,0.118,2018-08-24
48,0.118,2018-08-31
49,0.112,2018-09-07
50,0.084,2018-09-14
51,0.12,2018-09-21
52,0.118,2018-09-28
53,0.056,2018-10-12
54,0.046,2018-10-19
55,0.06,2018-10-26
56,0.09,2018-11-02
57,0.084,2018-11-09
58,0.222,2018-11-16
59,0.104,2018-11-23
60,0.132,2018-11-30
61,0.154,2018-12-07
62,0.152,2018-12-14
63,0.14,2018-12-21
64,0.142,2018-12-28
65,0.172,2019-01-04
66,0.262,2019-01-11
67,0.292,2019-01-18
68,0.284,2019-01-25
69,0.282,2019-02-01
70,0.47,2019-02-15
71,0.672,2019-02-22
72,0.852,2019-03-01
73,0.894,2019-03-08
74,0.928,2019-03-15
75,0.968,2019-03-22
76,0.958,2019-03-29
77,0.982,2019-04-04
78,0.972,2019-04-12
79,0.976,2019-04-19
80,0.902,2019-04-26
81,0.856,2019-04-30
82,0.666,2019-05-10
83,0.524,2019-05-17
84,0.436,2019-05-24
85,0.464,2019-05-31
86,0.328,2019-06-06
87,0.392,2019-06-14
88,0.594,2019-06-21
89,0.502,2019-06-28
90,0.582,2019-07-05
91,0.408,2019-07-12
92,0.39,2019-07-19
93,0.396,2019-07-26
94,0.306,2019-08-02
95,0.196,2019-08-09
96,0.234,2019-08-16
97,0.304,2019-08-23
98,0.292,2019-08-30
99,0.408,2019-09-06
100,0.442,2019-09-12
101,0.374,2019-09-20
102,0.306,2019-09-27
103,0.274,2019-09-30
104,0.318,2019-10-11
105,0.302,2019-10-18
106,0.326,2019-10-25
107,0.342,2019-11-01
108,0.358,2019-11-08
109,0.296,2019-11-15
110,0.34,2019-11-22
111,0.326,2019-11-29
112,0.366,2019-12-06
113,0.426,2019-12-13
114,0.56,2019-12-20
115,0.534,2019-12-27
116,0.7,2020-01-03
117,0.718,2020-01-10
118,0.666,2020-01-17
119,0.46,2020-01-23
120,0.394,2020-02-07
121,0.416,2020-02-14
122,0.572,2020-02-21
123,0.434,2020-02-28
124,0.644,2020-03-06
125,0.468,2020-03-13
126,0.352,2020-03-20
127,0.296,2020-03-27
128,0.274,2020-04-03
129,0.314,2020-04-10
130,0.366,2020-04-17
131,0.334,2020-04-24
132,0.37,2020-04-30
133,0.43,2020-05-08
134,0.414,2020-05-15
135,0.36,2020-05-22
136,0.402,2020-05-29
137,0.46,2020-06-05
138,0.46,2020-06-12
139,0.542,2020-06-19
140,0.526,2020-06-24
141,0.714,2020-07-03
142,0.916,2020-07-10
143,0.776,2020-07-17
144,0.742,2020-07-24
145,0.84,2020-07-31
146,0.86,2020-08-07
147,0.886,2020-08-14
148,0.892,2020-08-21
149,0.87,2020-08-28
150,0.828,2020-09-04
151,0.742,2020-09-11
152,0.784,2020-09-18
153,0.61,2020-09-25
154,0.566,2020-09-30
155,0.68,
