,0,date
156,0.41,2017-09-22
157,0.342,2017-09-29
158,0.568,2017-10-13
159,0.326,2017-10-20
160,0.398,2017-10-27
161,0.216,2017-11-03
162,0.374,2017-11-10
163,0.2,2017-11-17
164,0.152,2017-11-24
165,0.228,2017-12-01
166,0.176,2017-12-08
167,0.354,2017-12-15
168,0.362,2017-12-22
169,0.432,2017-12-29
170,0.7,2018-01-05
171,0.552,2018-01-12
172,0.404,2018-01-19
173,0.498,2018-01-26
174,0.118,2018-02-02
175,0.054,2018-02-09
176,0.098,2018-02-14
177,0.214,2018-02-23
178,0.546,2018-03-02
179,0.852,2018-03-09
180,0.714,2018-03-16
181,0.128,2018-03-23
182,0.406,2018-03-30
183,0.35,2018-04-04
184,0.352,2018-04-13
185,0.192,2018-04-20
186,0.246,2018-04-27
187,0.31,2018-05-04
188,0.504,2018-05-11
189,0.506,2018-05-18
190,0.37,2018-05-25
191,0.138,2018-06-01
192,0.178,2018-06-08
193,0.13,2018-06-15
194,0.04,2018-06-22
195,0.102,2018-06-29
196,0.1,2018-07-06
197,0.474,2018-07-13
198,0.482,2018-07-20
199,0.726,2018-07-27
200,0.142,2018-08-03
201,0.344,2018-08-10
202,0.084,2018-08-17
203,0.194,2018-08-24
204,0.206,2018-08-31
205,0.246,2018-09-07
206,0.254,2018-09-14
207,0.592,2018-09-21
208,0.476,2018-09-28
209,0.078,2018-10-12
210,0.042,2018-10-19
211,0.156,2018-10-26
212,0.786,2018-11-02
213,0.778,2018-11-09
214,0.922,2018-11-16
215,0.38,2018-11-23
216,0.224,2018-11-30
217,0.23,2018-12-07
218,0.194,2018-12-14
219,0.136,2018-12-21
220,0.136,2018-12-28
221,0.236,2019-01-04
222,0.61,2019-01-11
223,0.718,2019-01-18
224,0.514,2019-01-25
225,0.292,2019-02-01
226,0.856,2019-02-15
227,0.954,2019-02-22
228,0.978,2019-03-01
229,0.906,2019-03-08
230,0.864,2019-03-15
231,0.896,2019-03-22
232,0.366,2019-03-29
233,0.88,2019-04-04
234,0.566,2019-04-12
235,0.602,2019-04-19
236,0.094,2019-04-26
237,0.054,2019-04-30
238,0.058,2019-05-10
239,0.108,2019-05-17
240,0.124,2019-05-24
241,0.292,2019-05-31
242,0.132,2019-06-06
243,0.256,2019-06-14
244,0.82,2019-06-21
245,0.596,2019-06-28
246,0.72,2019-07-05
247,0.248,2019-07-12
248,0.21,2019-07-19
249,0.306,2019-07-26
250,0.25,2019-08-02
251,0.11,2019-08-09
252,0.244,2019-08-16
253,0.526,2019-08-23
254,0.572,2019-08-30
255,0.906,2019-09-06
256,0.918,2019-09-12
257,0.54,2019-09-20
258,0.176,2019-09-27
259,0.13,2019-09-30
260,0.264,2019-10-11
261,0.232,2019-10-18
262,0.338,2019-10-25
263,0.248,2019-11-01
264,0.336,2019-11-08
265,0.212,2019-11-15
266,0.3,2019-11-22
267,0.324,2019-11-29
268,0.642,2019-12-06
269,0.638,2019-12-13
270,0.922,2019-12-20
271,0.718,2019-12-27
272,0.87,2020-01-03
273,0.814,2020-01-10
274,0.524,2020-01-17
275,0.242,2020-01-23
276,0.264,2020-02-07
277,0.288,2020-02-14
278,0.778,2020-02-21
279,0.306,2020-02-28
280,0.718,2020-03-06
281,0.208,2020-03-13
282,0.112,2020-03-20
283,0.15,2020-03-27
284,0.206,2020-04-03
285,0.42,2020-04-10
286,0.568,2020-04-17
287,0.384,2020-04-24
288,0.424,2020-04-30
289,0.626,2020-05-08
290,0.496,2020-05-15
291,0.296,2020-05-22
292,0.368,2020-05-29
293,0.616,2020-06-05
294,0.46,2020-06-12
295,0.828,2020-06-19
296,0.612,2020-06-24
297,0.898,2020-07-03
298,0.986,2020-07-10
299,0.612,2020-07-17
300,0.372,2020-07-24
301,0.434,2020-07-31
302,0.436,2020-08-07
303,0.436,2020-08-14
304,0.472,2020-08-21
305,0.322,2020-08-28
306,0.362,2020-09-04
307,0.126,2020-09-11
308,0.354,2020-09-18
309,0.136,2020-09-25
310,0.134,2020-09-30
311,0.276,
