,0,date
0,0.668,2017-09-22
1,0.62,2017-09-29
2,0.762,2017-10-13
3,0.588,2017-10-20
4,0.552,2017-10-27
5,0.374,2017-11-03
6,0.426,2017-11-10
7,0.318,2017-11-17
8,0.282,2017-11-24
9,0.296,2017-12-01
10,0.256,2017-12-08
11,0.236,2017-12-15
12,0.252,2017-12-22
13,0.252,2017-12-29
14,0.322,2018-01-05
15,0.298,2018-01-12
16,0.26,2018-01-19
17,0.352,2018-01-26
18,0.21,2018-02-02
19,0.092,2018-02-09
20,0.16,2018-02-14
21,0.2,2018-02-23
22,0.26,2018-03-02
23,0.364,2018-03-09
24,0.358,2018-03-16
25,0.186,2018-03-23
26,0.376,2018-03-30
27,0.354,2018-04-04
28,0.328,2018-04-13
29,0.246,2018-04-20
30,0.272,2018-04-27
31,0.31,2018-05-04
32,0.358,2018-05-11
33,0.358,2018-05-18
34,0.338,2018-05-25
35,0.27,2018-06-01
36,0.27,2018-06-08
37,0.214,2018-06-15
38,0.148,2018-06-22
39,0.144,2018-06-29
40,0.092,2018-07-06
41,0.156,2018-07-13
42,0.168,2018-07-20
43,0.194,2018-07-27
44,0.108,2018-08-03
45,0.148,2018-08-10
46,0.086,2018-08-17
47,0.116,2018-08-24
48,0.12,2018-08-31
49,0.126,2018-09-07
50,0.102,2018-09-14
51,0.166,2018-09-21
52,0.19,2018-09-28
53,0.076,2018-10-12
54,0.062,2018-10-19
55,0.092,2018-10-26
56,0.162,2018-11-02
57,0.164,2018-11-09
58,0.436,2018-11-16
59,0.21,2018-11-23
60,0.218,2018-11-30
61,0.266,2018-12-07
62,0.232,2018-12-14
63,0.21,2018-12-21
64,0.21,2018-12-28
65,0.254,2019-01-04
66,0.406,2019-01-11
67,0.444,2019-01-18
68,0.416,2019-01-25
69,0.392,2019-02-01
70,0.664,2019-02-15
71,0.862,2019-02-22
72,0.962,2019-03-01
73,0.974,2019-03-08
74,0.98,2019-03-15
75,0.99,2019-03-22
76,0.984,2019-03-29
77,0.994,2019-04-04
78,0.986,2019-04-12
79,0.99,2019-04-19
80,0.88,2019-04-26
81,0.804,2019-04-30
82,0.512,2019-05-10
83,0.368,2019-05-17
84,0.29,2019-05-24
85,0.324,2019-05-31
86,0.174,2019-06-06
87,0.204,2019-06-14
88,0.364,2019-06-21
89,0.244,2019-06-28
90,0.322,2019-07-05
91,0.21,2019-07-12
92,0.214,2019-07-19
93,0.238,2019-07-26
94,0.214,2019-08-02
95,0.136,2019-08-09
96,0.188,2019-08-16
97,0.278,2019-08-23
98,0.298,2019-08-30
99,0.544,2019-09-06
100,0.68,2019-09-12
101,0.582,2019-09-20
102,0.39,2019-09-27
103,0.336,2019-09-30
104,0.45,2019-10-11
105,0.376,2019-10-18
106,0.402,2019-10-25
107,0.364,2019-11-01
108,0.386,2019-11-08
109,0.282,2019-11-15
110,0.33,2019-11-22
111,0.31,2019-11-29
112,0.374,2019-12-06
113,0.462,2019-12-13
114,0.624,2019-12-20
115,0.556,2019-12-27
116,0.782,2020-01-03
117,0.792,2020-01-10
118,0.732,2020-01-17
119,0.464,2020-01-23
120,0.382,2020-02-07
121,0.416,2020-02-14
122,0.6,2020-02-21
123,0.424,2020-02-28
124,0.666,2020-03-06
125,0.452,2020-03-13
126,0.316,2020-03-20
127,0.256,2020-03-27
128,0.24,2020-04-03
129,0.266,2020-04-10
130,0.296,2020-04-17
131,0.292,2020-04-24
132,0.324,2020-04-30
133,0.4,2020-05-08
134,0.392,2020-05-15
135,0.322,2020-05-22
136,0.362,2020-05-29
137,0.46,2020-06-05
138,0.452,2020-06-12
139,0.616,2020-06-19
140,0.58,2020-06-24
141,0.8,2020-07-03
142,0.966,2020-07-10
143,0.876,2020-07-17
144,0.842,2020-07-24
145,0.904,2020-07-31
146,0.916,2020-08-07
147,0.91,2020-08-14
148,0.902,2020-08-21
149,0.888,2020-08-28
150,0.844,2020-09-04
151,0.662,2020-09-11
152,0.706,2020-09-18
153,0.496,2020-09-25
154,0.41,2020-09-30
155,0.502,
