,0,date
0,0.528,2017-09-22
1,0.452,2017-09-29
2,0.624,2017-10-13
3,0.372,2017-10-20
4,0.376,2017-10-27
5,0.24,2017-11-03
6,0.354,2017-11-10
7,0.228,2017-11-17
8,0.194,2017-11-24
9,0.206,2017-12-01
10,0.18,2017-12-08
11,0.244,2017-12-15
12,0.292,2017-12-22
13,0.424,2017-12-29
14,0.668,2018-01-05
15,0.592,2018-01-12
16,0.432,2018-01-19
17,0.542,2018-01-26
18,0.196,2018-02-02
19,0.058,2018-02-09
20,0.118,2018-02-14
21,0.19,2018-02-23
22,0.376,2018-03-02
23,0.644,2018-03-09
24,0.636,2018-03-16
25,0.212,2018-03-23
26,0.504,2018-03-30
27,0.418,2018-04-04
28,0.35,2018-04-13
29,0.212,2018-04-20
30,0.238,2018-04-27
31,0.328,2018-05-04
32,0.43,2018-05-11
33,0.45,2018-05-18
34,0.392,2018-05-25
35,0.222,2018-06-01
36,0.192,2018-06-08
37,0.15,2018-06-15
38,0.086,2018-06-22
39,0.104,2018-06-29
40,0.074,2018-07-06
41,0.252,2018-07-13
42,0.342,2018-07-20
43,0.672,2018-07-27
44,0.212,2018-08-03
45,0.398,2018-08-10
46,0.136,2018-08-17
47,0.19,2018-08-24
48,0.16,2018-08-31
49,0.246,2018-09-07
50,0.222,2018-09-14
51,0.492,2018-09-21
52,0.484,2018-09-28
53,0.1,2018-10-12
54,0.056,2018-10-19
55,0.138,2018-10-26
56,0.478,2018-11-02
57,0.458,2018-11-09
58,0.914,2018-11-16
59,0.572,2018-11-23
60,0.514,2018-11-30
61,0.482,2018-12-07
62,0.224,2018-12-14
63,0.138,2018-12-21
64,0.162,2018-12-28
65,0.234,2019-01-04
66,0.5,2019-01-11
67,0.628,2019-01-18
68,0.56,2019-01-25
69,0.462,2019-02-01
70,0.84,2019-02-15
71,0.966,2019-02-22
72,0.994,2019-03-01
73,0.964,2019-03-08
74,0.98,2019-03-15
75,0.982,2019-03-22
76,0.87,2019-03-29
77,0.942,2019-04-04
78,0.68,2019-04-12
79,0.676,2019-04-19
80,0.172,2019-04-26
81,0.128,2019-04-30
82,0.074,2019-05-10
83,0.102,2019-05-17
84,0.078,2019-05-24
85,0.158,2019-05-31
86,0.094,2019-06-06
87,0.206,2019-06-14
88,0.818,2019-06-21
89,0.574,2019-06-28
90,0.78,2019-07-05
91,0.362,2019-07-12
92,0.358,2019-07-19
93,0.356,2019-07-26
94,0.228,2019-08-02
95,0.13,2019-08-09
96,0.238,2019-08-16
97,0.45,2019-08-23
98,0.466,2019-08-30
99,0.894,2019-09-06
100,0.952,2019-09-12
101,0.832,2019-09-20
102,0.286,2019-09-27
103,0.226,2019-09-30
104,0.368,2019-10-11
105,0.244,2019-10-18
106,0.266,2019-10-25
107,0.316,2019-11-01
108,0.374,2019-11-08
109,0.214,2019-11-15
110,0.286,2019-11-22
111,0.336,2019-11-29
112,0.53,2019-12-06
113,0.68,2019-12-13
114,0.902,2019-12-20
115,0.798,2019-12-27
116,0.916,2020-01-03
117,0.932,2020-01-10
118,0.72,2020-01-17
119,0.314,2020-01-23
120,0.294,2020-02-07
121,0.324,2020-02-14
122,0.568,2020-02-21
123,0.304,2020-02-28
124,0.728,2020-03-06
125,0.338,2020-03-13
126,0.148,2020-03-20
127,0.148,2020-03-27
128,0.162,2020-04-03
129,0.264,2020-04-10
130,0.356,2020-04-17
131,0.406,2020-04-24
132,0.526,2020-04-30
133,0.644,2020-05-08
134,0.538,2020-05-15
135,0.34,2020-05-22
136,0.412,2020-05-29
137,0.63,2020-06-05
138,0.532,2020-06-12
139,0.772,2020-06-19
140,0.678,2020-06-24
141,0.93,2020-07-03
142,0.988,2020-07-10
143,0.804,2020-07-17
144,0.59,2020-07-24
145,0.726,2020-07-31
146,0.606,2020-08-07
147,0.5,2020-08-14
148,0.502,2020-08-21
149,0.546,2020-08-28
150,0.424,2020-09-04
151,0.198,2020-09-11
152,0.328,2020-09-18
153,0.168,2020-09-25
154,0.138,2020-09-30
155,0.246,
