,0,date
0,0.64,2017-09-22
1,0.564,2017-09-29
2,0.708,2017-10-13
3,0.476,2017-10-20
4,0.422,2017-10-27
5,0.274,2017-11-03
6,0.36,2017-11-10
7,0.26,2017-11-17
8,0.22,2017-11-24
9,0.232,2017-12-01
10,0.192,2017-12-08
11,0.21,2017-12-15
12,0.25,2017-12-22
13,0.294,2017-12-29
14,0.496,2018-01-05
15,0.446,2018-01-12
16,0.404,2018-01-19
17,0.508,2018-01-26
18,0.224,2018-02-02
19,0.076,2018-02-09
20,0.144,2018-02-14
21,0.196,2018-02-23
22,0.33,2018-03-02
23,0.548,2018-03-09
24,0.514,2018-03-16
25,0.2,2018-03-23
26,0.516,2018-03-30
27,0.508,2018-04-04
28,0.496,2018-04-13
29,0.254,2018-04-20
30,0.266,2018-04-27
31,0.31,2018-05-04
32,0.382,2018-05-11
33,0.422,2018-05-18
34,0.388,2018-05-25
35,0.234,2018-06-01
36,0.242,2018-06-08
37,0.19,2018-06-15
38,0.112,2018-06-22
39,0.122,2018-06-29
40,0.062,2018-07-06
41,0.16,2018-07-13
42,0.194,2018-07-20
43,0.316,2018-07-27
44,0.134,2018-08-03
45,0.278,2018-08-10
46,0.132,2018-08-17
47,0.228,2018-08-24
48,0.204,2018-08-31
49,0.234,2018-09-07
50,0.178,2018-09-14
51,0.356,2018-09-21
52,0.394,2018-09-28
53,0.1,2018-10-12
54,0.066,2018-10-19
55,0.126,2018-10-26
56,0.306,2018-11-02
57,0.272,2018-11-09
58,0.768,2018-11-16
59,0.36,2018-11-23
60,0.456,2018-11-30
61,0.566,2018-12-07
62,0.448,2018-12-14
63,0.29,2018-12-21
64,0.228,2018-12-28
65,0.256,2019-01-04
66,0.46,2019-01-11
67,0.516,2019-01-18
68,0.478,2019-01-25
69,0.434,2019-02-01
70,0.776,2019-02-15
71,0.952,2019-02-22
72,0.99,2019-03-01
73,0.988,2019-03-08
74,0.992,2019-03-15
75,0.994,2019-03-22
76,0.98,2019-03-29
77,0.996,2019-04-04
78,0.932,2019-04-12
79,0.928,2019-04-19
80,0.32,2019-04-26
81,0.216,2019-04-30
82,0.1,2019-05-10
83,0.108,2019-05-17
84,0.062,2019-05-24
85,0.128,2019-05-31
86,0.068,2019-06-06
87,0.112,2019-06-14
88,0.42,2019-06-21
89,0.372,2019-06-28
90,0.686,2019-07-05
91,0.384,2019-07-12
92,0.446,2019-07-19
93,0.462,2019-07-26
94,0.276,2019-08-02
95,0.158,2019-08-09
96,0.236,2019-08-16
97,0.354,2019-08-23
98,0.378,2019-08-30
99,0.744,2019-09-06
100,0.89,2019-09-12
101,0.764,2019-09-20
102,0.392,2019-09-27
103,0.328,2019-09-30
104,0.506,2019-10-11
105,0.34,2019-10-18
106,0.354,2019-10-25
107,0.336,2019-11-01
108,0.336,2019-11-08
109,0.204,2019-11-15
110,0.28,2019-11-22
111,0.302,2019-11-29
112,0.426,2019-12-06
113,0.528,2019-12-13
114,0.792,2019-12-20
115,0.728,2019-12-27
116,0.902,2020-01-03
117,0.936,2020-01-10
118,0.86,2020-01-17
119,0.402,2020-01-23
120,0.348,2020-02-07
121,0.362,2020-02-14
122,0.552,2020-02-21
123,0.304,2020-02-28
124,0.614,2020-03-06
125,0.316,2020-03-13
126,0.216,2020-03-20
127,0.184,2020-03-27
128,0.188,2020-04-03
129,0.236,2020-04-10
130,0.26,2020-04-17
131,0.29,2020-04-24
132,0.404,2020-04-30
133,0.508,2020-05-08
134,0.516,2020-05-15
135,0.38,2020-05-22
136,0.446,2020-05-29
137,0.622,2020-06-05
138,0.556,2020-06-12
139,0.758,2020-06-19
140,0.686,2020-06-24
141,0.912,2020-07-03
142,0.982,2020-07-10
143,0.904,2020-07-17
144,0.79,2020-07-24
145,0.9,2020-07-31
146,0.834,2020-08-07
147,0.822,2020-08-14
148,0.75,2020-08-21
149,0.724,2020-08-28
150,0.514,2020-09-04
151,0.298,2020-09-11
152,0.414,2020-09-18
153,0.216,2020-09-25
154,0.154,2020-09-30
155,0.252,
