,0,date
0,0.448,2017-09-22
1,0.404,2017-09-29
2,0.608,2017-10-13
3,0.378,2017-10-20
4,0.4,2017-10-27
5,0.21,2017-11-03
6,0.382,2017-11-10
7,0.216,2017-11-17
8,0.19,2017-11-24
9,0.262,2017-12-01
10,0.22,2017-12-08
11,0.358,2017-12-15
12,0.364,2017-12-22
13,0.43,2017-12-29
14,0.692,2018-01-05
15,0.584,2018-01-12
16,0.41,2018-01-19
17,0.53,2018-01-26
18,0.162,2018-02-02
19,0.056,2018-02-09
20,0.158,2018-02-14
21,0.32,2018-02-23
22,0.78,2018-03-02
23,0.904,2018-03-09
24,0.728,2018-03-16
25,0.142,2018-03-23
26,0.482,2018-03-30
27,0.39,2018-04-04
28,0.446,2018-04-13
29,0.232,2018-04-20
30,0.27,2018-04-27
31,0.346,2018-05-04
32,0.546,2018-05-11
33,0.606,2018-05-18
34,0.426,2018-05-25
35,0.184,2018-06-01
36,0.188,2018-06-08
37,0.154,2018-06-15
38,0.098,2018-06-22
39,0.16,2018-06-29
40,0.104,2018-07-06
41,0.424,2018-07-13
42,0.57,2018-07-20
43,0.728,2018-07-27
44,0.224,2018-08-03
45,0.358,2018-08-10
46,0.11,2018-08-17
47,0.202,2018-08-24
48,0.246,2018-08-31
49,0.312,2018-09-07
50,0.286,2018-09-14
51,0.634,2018-09-21
52,0.558,2018-09-28
53,0.09,2018-10-12
54,0.056,2018-10-19
55,0.154,2018-10-26
56,0.718,2018-11-02
57,0.728,2018-11-09
58,0.932,2018-11-16
59,0.338,2018-11-23
60,0.384,2018-11-30
61,0.422,2018-12-07
62,0.202,2018-12-14
63,0.204,2018-12-21
64,0.21,2018-12-28
65,0.352,2019-01-04
66,0.718,2019-01-11
67,0.77,2019-01-18
68,0.572,2019-01-25
69,0.458,2019-02-01
70,0.814,2019-02-15
71,0.98,2019-02-22
72,0.994,2019-03-01
73,0.932,2019-03-08
74,0.97,2019-03-15
75,0.964,2019-03-22
76,0.758,2019-03-29
77,0.906,2019-04-04
78,0.594,2019-04-12
79,0.586,2019-04-19
80,0.122,2019-04-26
81,0.108,2019-04-30
82,0.086,2019-05-10
83,0.092,2019-05-17
84,0.12,2019-05-24
85,0.262,2019-05-31
86,0.14,2019-06-06
87,0.342,2019-06-14
88,0.924,2019-06-21
89,0.64,2019-06-28
90,0.822,2019-07-05
91,0.29,2019-07-12
92,0.262,2019-07-19
93,0.328,2019-07-26
94,0.218,2019-08-02
95,0.13,2019-08-09
96,0.256,2019-08-16
97,0.568,2019-08-23
98,0.562,2019-08-30
99,0.938,2019-09-06
100,0.936,2019-09-12
101,0.676,2019-09-20
102,0.214,2019-09-27
103,0.17,2019-09-30
104,0.342,2019-10-11
105,0.294,2019-10-18
106,0.502,2019-10-25
107,0.428,2019-11-01
108,0.39,2019-11-08
109,0.228,2019-11-15
110,0.3,2019-11-22
111,0.366,2019-11-29
112,0.668,2019-12-06
113,0.77,2019-12-13
114,0.91,2019-12-20
115,0.732,2019-12-27
116,0.908,2020-01-03
117,0.874,2020-01-10
118,0.578,2020-01-17
119,0.246,2020-01-23
120,0.264,2020-02-07
121,0.302,2020-02-14
122,0.724,2020-02-21
123,0.256,2020-02-28
124,0.792,2020-03-06
125,0.264,2020-03-13
126,0.148,2020-03-20
127,0.16,2020-03-27
128,0.152,2020-04-03
129,0.342,2020-04-10
130,0.56,2020-04-17
131,0.414,2020-04-24
132,0.564,2020-04-30
133,0.676,2020-05-08
134,0.524,2020-05-15
135,0.286,2020-05-22
136,0.396,2020-05-29
137,0.688,2020-06-05
138,0.572,2020-06-12
139,0.864,2020-06-19
140,0.65,2020-06-24
141,0.926,2020-07-03
142,0.984,2020-07-10
143,0.716,2020-07-17
144,0.462,2020-07-24
145,0.658,2020-07-31
146,0.552,2020-08-07
147,0.686,2020-08-14
148,0.626,2020-08-21
149,0.532,2020-08-28
150,0.364,2020-09-04
151,0.188,2020-09-11
152,0.374,2020-09-18
153,0.17,2020-09-25
154,0.146,2020-09-30
155,0.342,
