,date,close
0,2017-09-22,3352.53
1,2017-09-29,3348.94
2,2017-10-13,3390.52
3,2017-10-20,3378.65
4,2017-10-27,3416.81
5,2017-11-03,3371.74
6,2017-11-10,3432.67
7,2017-11-17,3382.91
8,2017-11-24,3353.82
9,2017-12-01,3317.62
10,2017-12-08,3289.99
11,2017-12-15,3266.14
12,2017-12-22,3297.06
13,2017-12-29,3307.17
14,2018-01-05,3391.75
15,2018-01-12,3428.94
16,2018-01-19,3487.86
17,2018-01-26,3558.13
18,2018-02-02,3462.08
19,2018-02-09,3129.85
20,2018-02-14,3199.16
21,2018-02-23,3289.02
22,2018-03-02,3254.53
23,2018-03-09,3307.17
24,2018-03-16,3269.88
25,2018-03-23,3152.76
26,2018-03-30,3168.9
27,2018-04-04,3131.11
28,2018-04-13,3159.05
29,2018-04-20,3071.54
30,2018-04-27,3082.23
31,2018-05-04,3091.03
32,2018-05-11,3163.26
33,2018-05-18,3193.3
34,2018-05-25,3141.3
35,2018-06-01,3075.14
36,2018-06-08,3067.15
37,2018-06-15,3021.9
38,2018-06-22,2889.76
39,2018-06-29,2847.42
40,2018-07-06,2747.23
41,2018-07-13,2831.18
42,2018-07-20,2829.27
43,2018-07-27,2873.59
44,2018-08-03,2740.44
45,2018-08-10,2795.31
46,2018-08-17,2668.97
47,2018-08-24,2729.43
48,2018-08-31,2725.25
49,2018-09-07,2702.3
50,2018-09-14,2681.64
51,2018-09-21,2797.48
52,2018-09-28,2821.35
53,2018-10-12,2606.91
54,2018-10-19,2550.47
55,2018-10-26,2598.85
56,2018-11-02,2676.48
57,2018-11-09,2598.87
58,2018-11-16,2679.11
59,2018-11-23,2579.48
60,2018-11-30,2588.19
61,2018-12-07,2605.89
62,2018-12-14,2593.74
63,2018-12-21,2516.25
64,2018-12-28,2493.9
65,2019-01-04,2514.87
66,2019-01-11,2553.83
67,2019-01-18,2596.01
68,2019-01-25,2601.72
69,2019-02-01,2618.23
70,2019-02-15,2682.39
71,2019-02-22,2804.23
72,2019-03-01,2994.01
73,2019-03-08,2969.86
74,2019-03-15,3021.75
75,2019-03-22,3104.15
76,2019-03-29,3090.76
77,2019-04-04,3246.57
78,2019-04-12,3188.63
79,2019-04-19,3270.8
80,2019-04-26,3086.4
81,2019-04-30,3078.34
82,2019-05-10,2939.21
83,2019-05-17,2882.3
84,2019-05-24,2852.99
85,2019-05-31,2898.7
86,2019-06-06,2827.8
87,2019-06-14,2881.97
88,2019-06-21,3001.98
89,2019-06-28,2978.88
90,2019-07-05,3011.06
91,2019-07-12,2930.55
92,2019-07-19,2924.2
93,2019-07-26,2944.54
94,2019-08-02,2867.84
95,2019-08-09,2774.75
96,2019-08-16,2823.82
97,2019-08-23,2897.43
98,2019-08-30,2886.24
99,2019-09-06,2999.6
100,2019-09-12,3031.24
101,2019-09-20,3006.45
102,2019-09-27,2932.17
103,2019-09-30,2905.19
104,2019-10-11,2973.66
105,2019-10-18,2938.14
106,2019-10-25,2954.93
107,2019-11-01,2958.2
108,2019-11-08,2964.18
109,2019-11-15,2891.34
110,2019-11-22,2885.29
111,2019-11-29,2871.98
112,2019-12-06,2912.01
113,2019-12-13,2967.68
114,2019-12-20,3004.94
115,2019-12-27,3005.04
116,2020-01-03,3083.79
117,2020-01-10,3092.29
118,2020-01-17,3075.5
119,2020-01-23,2976.53
120,2020-02-07,2875.96
121,2020-02-14,2917.01
122,2020-02-21,3039.67
123,2020-02-28,2880.3
124,2020-03-06,3034.51
125,2020-03-13,2887.43
126,2020-03-20,2745.62
127,2020-03-27,2772.2
128,2020-04-03,2763.99
129,2020-04-10,2796.63
130,2020-04-17,2838.49
131,2020-04-24,2808.53
132,2020-04-30,2860.08
133,2020-05-08,2895.34
134,2020-05-15,2868.46
135,2020-05-22,2813.77
136,2020-05-29,2852.35
137,2020-06-05,2930.8
138,2020-06-12,2919.74
139,2020-06-19,2967.63
140,2020-06-24,2979.55
141,2020-07-03,3152.81
142,2020-07-10,3383.32
143,2020-07-17,3214.13
144,2020-07-24,3196.77
145,2020-07-31,3310.01
146,2020-08-07,3354.04
147,2020-08-14,3360.1
148,2020-08-21,3380.68
149,2020-08-28,3403.81
150,2020-09-04,3355.37
151,2020-09-11,3260.35
152,2020-09-18,3338.09
153,2020-09-25,3219.4179
154,2020-09-30,3218.05
155,2020-10-09,3272.08
