,0,date
0,0.24,2017-09-22
1,0.584,2017-09-29
2,0.63,2017-10-13
3,0.334,2017-10-20
4,0.438,2017-10-27
5,0.204,2017-11-03
6,0.664,2017-11-10
7,0.11,2017-11-17
8,0.266,2017-11-24
9,0.658,2017-12-01
10,0.496,2017-12-08
11,0.398,2017-12-15
12,0.43,2017-12-22
13,0.66,2017-12-29
14,0.734,2018-01-05
15,0.344,2018-01-12
16,0.368,2018-01-19
17,0.566,2018-01-26
18,0.148,2018-02-02
19,0.098,2018-02-09
20,0.624,2018-02-14
21,0.9,2018-02-23
22,0.586,2018-03-02
23,0.846,2018-03-09
24,0.21,2018-03-16
25,0.094,2018-03-23
26,0.856,2018-03-30
27,0.352,2018-04-04
28,0.378,2018-04-13
29,0.186,2018-04-20
30,0.414,2018-04-27
31,0.538,2018-05-04
32,0.464,2018-05-11
33,0.484,2018-05-18
34,0.22,2018-05-25
35,0.18,2018-06-01
36,0.24,2018-06-08
37,0.162,2018-06-15
38,0.192,2018-06-22
39,0.772,2018-06-29
40,0.134,2018-07-06
41,0.796,2018-07-13
42,0.506,2018-07-20
43,0.5,2018-07-27
44,0.066,2018-08-03
45,0.864,2018-08-10
46,0.042,2018-08-17
47,0.478,2018-08-24
48,0.124,2018-08-31
49,0.306,2018-09-07
50,0.398,2018-09-14
51,0.91,2018-09-21
52,0.508,2018-09-28
53,0.062,2018-10-12
54,0.43,2018-10-19
55,0.586,2018-10-26
56,0.972,2018-11-02
57,0.278,2018-11-09
58,0.914,2018-11-16
59,0.036,2018-11-23
60,0.434,2018-11-30
61,0.228,2018-12-07
62,0.178,2018-12-14
63,0.194,2018-12-21
64,0.242,2018-12-28
65,0.708,2019-01-04
66,0.724,2019-01-11
67,0.568,2019-01-18
68,0.322,2019-01-25
69,0.652,2019-02-01
70,0.772,2019-02-15
71,0.89,2019-02-22
72,0.772,2019-03-01
73,0.304,2019-03-08
74,0.4,2019-03-15
75,0.734,2019-03-22
76,0.606,2019-03-29
77,0.87,2019-04-04
78,0.174,2019-04-12
79,0.612,2019-04-19
80,0.08,2019-04-26
81,0.17,2019-04-30
82,0.664,2019-05-10
83,0.172,2019-05-17
84,0.172,2019-05-24
85,0.352,2019-05-31
86,0.08,2019-06-06
87,0.39,2019-06-14
88,0.958,2019-06-21
89,0.234,2019-06-28
90,0.482,2019-07-05
91,0.288,2019-07-12
92,0.336,2019-07-19
93,0.636,2019-07-26
94,0.154,2019-08-02
95,0.158,2019-08-09
96,0.658,2019-08-16
97,0.568,2019-08-23
98,0.304,2019-08-30
99,0.856,2019-09-06
100,0.706,2019-09-12
101,0.36,2019-09-20
102,0.138,2019-09-27
103,0.116,2019-09-30
104,0.772,2019-10-11
105,0.166,2019-10-18
106,0.638,2019-10-25
107,0.374,2019-11-01
108,0.404,2019-11-08
109,0.244,2019-11-15
110,0.45,2019-11-22
111,0.462,2019-11-29
112,0.816,2019-12-06
113,0.69,2019-12-13
114,0.574,2019-12-20
115,0.528,2019-12-27
116,0.874,2020-01-03
117,0.492,2020-01-10
118,0.25,2020-01-17
119,0.14,2020-01-23
120,0.636,2020-02-07
121,0.488,2020-02-14
122,0.836,2020-02-21
123,0.086,2020-02-28
124,0.768,2020-03-06
125,0.176,2020-03-13
126,0.396,2020-03-20
127,0.532,2020-03-27
128,0.444,2020-04-03
129,0.384,2020-04-10
130,0.528,2020-04-17
131,0.234,2020-04-24
132,0.596,2020-04-30
133,0.87,2020-05-08
134,0.326,2020-05-15
135,0.162,2020-05-22
136,0.56,2020-05-29
137,0.586,2020-06-05
138,0.332,2020-06-12
139,0.82,2020-06-19
140,0.394,2020-06-24
141,0.866,2020-07-03
142,0.85,2020-07-10
143,0.128,2020-07-17
144,0.12,2020-07-24
145,0.87,2020-07-31
146,0.29,2020-08-07
147,0.55,2020-08-14
148,0.328,2020-08-21
149,0.596,2020-08-28
150,0.272,2020-09-04
151,0.184,2020-09-11
152,0.806,2020-09-18
153,0.132,2020-09-25
154,0.222,2020-09-30
155,0.826,
