,date,close
0,2014-09-12,2438.36
1,2014-09-19,2425.21
2,2014-09-26,2437.2
3,2014-09-30,2450.99
4,2014-10-10,2466.79
5,2014-10-17,2441.73
6,2014-10-24,2390.71
7,2014-10-31,2508.32
8,2014-11-07,2502.15
9,2014-11-14,2581.09
10,2014-11-21,2583.45
11,2014-11-28,2808.82
12,2014-12-05,3124.89
13,2014-12-12,3193.23
14,2014-12-19,3383.17
15,2014-12-26,3445.84
16,2014-12-31,3533.7
17,2015-01-09,3546.72
18,2015-01-16,3635.15
19,2015-01-23,3571.73
20,2015-01-30,3434.39
21,2015-02-06,3312.42
22,2015-02-13,3469.83
23,2015-02-17,3522.32
24,2015-02-27,3572.84
25,2015-03-06,3478.52
26,2015-03-13,3617.66
27,2015-03-20,3892.57
28,2015-03-27,3971.7
29,2015-04-03,4170.54
30,2015-04-10,4344.42
31,2015-04-17,4596.14
32,2015-04-24,4702.64
33,2015-04-30,4749.89
34,2015-05-08,4558.4
35,2015-05-15,4617.47
36,2015-05-22,4951.34
37,2015-05-29,4840.83
38,2015-06-05,5230.55
39,2015-06-12,5335.11
40,2015-06-19,4637.05
41,2015-06-26,4336.19
42,2015-07-03,3885.92
43,2015-07-10,4106.56
44,2015-07-17,4151.5
45,2015-07-24,4176.28
46,2015-07-31,3816.7
47,2015-08-07,3906.95
48,2015-08-14,4073.54
49,2015-08-21,3589.54
50,2015-08-28,3342.29
51,2015-09-02,3365.83
52,2015-09-11,3347.19
53,2015-09-18,3251.27
54,2015-09-25,3231.95
55,2015-09-30,3202.95
56,2015-10-09,3340.12
57,2015-10-16,3534.07
58,2015-10-23,3571.24
59,2015-10-30,3534.08
60,2015-11-06,3793.37
61,2015-11-13,3746.24
62,2015-11-20,3774.38
63,2015-11-27,3556.99
64,2015-12-04,3677.59
65,2015-12-11,3608.06
66,2015-12-18,3767.91
67,2015-12-25,3838.2
68,2015-12-31,3731.01
69,2016-01-08,3361.56
70,2016-01-15,3118.73
71,2016-01-22,3113.46
72,2016-01-29,2946.09
73,2016-02-05,2963.79
74,2016-02-19,3051.59
75,2016-02-26,2948.03
76,2016-03-04,3093.89
77,2016-03-11,3018.28
78,2016-03-18,3171.96
79,2016-03-25,3197.82
80,2016-04-01,3221.89
81,2016-04-08,3185.73
82,2016-04-15,3272.21
83,2016-04-22,3174.9
84,2016-04-29,3156.75
85,2016-05-06,3130.35
86,2016-05-13,3074.94
87,2016-05-20,3078.22
88,2016-05-27,3062.5
89,2016-06-03,3189.33
90,2016-06-08,3163.99
91,2016-06-17,3110.36
92,2016-06-24,3077.16
93,2016-07-01,3154.2
94,2016-07-08,3192.28
95,2016-07-15,3276.28
96,2016-07-22,3225.16
97,2016-07-29,3203.93
98,2016-08-05,3205.11
99,2016-08-12,3294.23
100,2016-08-19,3365.02
101,2016-08-26,3307.09
102,2016-09-02,3314.11
103,2016-09-09,3318.04
104,2016-09-14,3238.73
105,2016-09-23,3275.67
106,2016-09-30,3253.28
107,2016-10-14,3305.85
108,2016-10-21,3327.74
109,2016-10-28,3340.13
110,2016-11-04,3354.17
111,2016-11-11,3417.22
112,2016-11-18,3417.46
113,2016-11-25,3521.3
114,2016-12-02,3528.95
115,2016-12-09,3493.7
116,2016-12-16,3346.03
117,2016-12-23,3307.6
118,2016-12-30,3310.08
119,2017-01-06,3347.67
120,2017-01-13,3319.91
121,2017-01-20,3354.89
122,2017-01-26,3387.96
123,2017-02-03,3364.49
124,2017-02-10,3413.49
125,2017-02-17,3421.44
126,2017-02-24,3473.85
127,2017-03-03,3427.86
128,2017-03-10,3427.89
129,2017-03-17,3445.81
130,2017-03-24,3489.6
131,2017-03-31,3456.05
132,2017-04-07,3517.46
133,2017-04-14,3486.5
134,2017-04-21,3466.79
135,2017-04-28,3439.75
136,2017-05-05,3382.55
137,2017-05-12,3385.38
138,2017-05-19,3403.85
139,2017-05-26,3480.43
140,2017-06-02,3486.51
141,2017-06-09,3576.17
142,2017-06-16,3518.76
143,2017-06-23,3622.88
144,2017-06-30,3666.8
145,2017-07-07,3655.93
146,2017-07-14,3703.09
147,2017-07-21,3728.6
148,2017-07-28,3721.89
149,2017-08-04,3707.58
150,2017-08-11,3647.35
151,2017-08-18,3724.67
152,2017-08-25,3795.75
153,2017-09-01,3830.54
154,2017-09-08,3825.99
155,2017-09-15,3831.3
