,0,date
0,0.038,2014-09-12
1,0.008,2014-09-19
2,0.168,2014-09-26
3,0.078,2014-09-30
4,0.092,2014-10-10
5,0.022,2014-10-17
6,0.028,2014-10-24
7,0.34,2014-10-31
8,0.046,2014-11-07
9,0.054,2014-11-14
10,0.136,2014-11-21
11,0.142,2014-11-28
12,0.106,2014-12-05
13,0.122,2014-12-12
14,0.014,2014-12-19
15,0.14,2014-12-26
16,0.068,2014-12-31
17,0.102,2015-01-09
18,0.33,2015-01-16
19,0.428,2015-01-23
20,0.036,2015-01-30
21,0.05,2015-02-06
22,0.334,2015-02-13
23,0.384,2015-02-17
24,0.14,2015-02-27
25,0.014,2015-03-06
26,0.028,2015-03-13
27,0.012,2015-03-20
28,0.002,2015-03-27
29,0.022,2015-04-03
30,0.008,2015-04-10
31,0.006,2015-04-17
32,0.228,2015-04-24
33,0.016,2015-04-30
34,0.042,2015-05-08
35,0.114,2015-05-15
36,0.286,2015-05-22
37,0.002,2015-05-29
38,0.016,2015-06-05
39,0.008,2015-06-12
40,0.002,2015-06-19
41,0.004,2015-06-26
42,0.0,2015-07-03
43,0.02,2015-07-10
44,0.108,2015-07-17
45,0.394,2015-07-24
46,0.198,2015-07-31
47,0.274,2015-08-07
48,0.03,2015-08-14
49,0.002,2015-08-21
50,0.008,2015-08-28
51,0.0,2015-09-02
52,0.02,2015-09-11
53,0.06,2015-09-18
54,0.084,2015-09-25
55,0.05,2015-09-30
56,0.422,2015-10-09
57,0.014,2015-10-16
58,0.01,2015-10-23
59,0.0,2015-10-30
60,0.242,2015-11-06
61,0.018,2015-11-13
62,0.036,2015-11-20
63,0.008,2015-11-27
64,0.104,2015-12-04
65,0.022,2015-12-11
66,0.31,2015-12-18
67,0.074,2015-12-25
68,0.028,2015-12-31
69,0.06,2016-01-08
70,0.004,2016-01-15
71,0.024,2016-01-22
72,0.012,2016-01-29
73,0.168,2016-02-05
74,0.542,2016-02-19
75,0.004,2016-02-26
76,0.232,2016-03-04
77,0.016,2016-03-11
78,0.55,2016-03-18
79,0.004,2016-03-25
80,0.046,2016-04-01
81,0.034,2016-04-08
82,0.022,2016-04-15
83,0.016,2016-04-22
84,0.07,2016-04-29
85,0.066,2016-05-06
86,0.056,2016-05-13
87,0.054,2016-05-20
88,0.052,2016-05-27
89,0.67,2016-06-03
90,0.066,2016-06-08
91,0.356,2016-06-17
92,0.07,2016-06-24
93,0.166,2016-07-01
94,0.054,2016-07-08
95,0.038,2016-07-15
96,0.024,2016-07-22
97,0.024,2016-07-29
98,0.12,2016-08-05
99,0.102,2016-08-12
100,0.176,2016-08-19
101,0.086,2016-08-26
102,0.03,2016-09-02
103,0.17,2016-09-09
104,0.02,2016-09-14
105,0.134,2016-09-23
106,0.15,2016-09-30
107,0.152,2016-10-14
108,0.222,2016-10-21
109,0.034,2016-10-28
110,0.066,2016-11-04
111,0.224,2016-11-11
112,0.062,2016-11-18
113,0.11,2016-11-25
114,0.028,2016-12-02
115,0.092,2016-12-09
116,0.098,2016-12-16
117,0.042,2016-12-23
118,0.106,2016-12-30
119,0.35,2017-01-06
120,0.01,2017-01-13
121,0.118,2017-01-20
122,0.184,2017-01-26
123,0.092,2017-02-03
124,0.292,2017-02-10
125,0.042,2017-02-17
126,0.112,2017-02-24
127,0.046,2017-03-03
128,0.026,2017-03-10
129,0.062,2017-03-17
130,0.146,2017-03-24
131,0.028,2017-03-31
132,0.25,2017-04-07
133,0.06,2017-04-14
134,0.074,2017-04-21
135,0.128,2017-04-28
136,0.056,2017-05-05
137,0.046,2017-05-12
138,0.156,2017-05-19
139,0.092,2017-05-26
140,0.07,2017-06-02
141,0.362,2017-06-09
142,0.316,2017-06-16
143,0.036,2017-06-23
144,0.046,2017-06-30
145,0.076,2017-07-07
146,0.018,2017-07-14
147,0.212,2017-07-21
148,0.12,2017-07-28
149,0.072,2017-08-04
150,0.082,2017-08-11
151,0.134,2017-08-18
152,0.042,2017-08-25
153,0.11,2017-09-01
154,0.058,2017-09-08
155,0.078,2017-09-15
156,0.032,2017-09-22
157,0.114,2017-09-29
158,0.198,2017-10-13
159,0.088,2017-10-20
160,0.098,2017-10-27
161,0.054,2017-11-03
162,0.162,2017-11-10
163,0.02,2017-11-17
164,0.05,2017-11-24
165,0.112,2017-12-01
166,0.086,2017-12-08
167,0.144,2017-12-15
168,0.138,2017-12-22
169,0.2,2017-12-29
170,0.264,2018-01-05
171,0.08,2018-01-12
172,0.164,2018-01-19
173,0.106,2018-01-26
174,0.028,2018-02-02
175,0.01,2018-02-09
176,0.046,2018-02-14
177,0.146,2018-02-23
178,0.244,2018-03-02
179,0.27,2018-03-09
180,0.004,2018-03-16
181,0.024,2018-03-23
182,0.238,2018-03-30
183,0.108,2018-04-04
184,0.112,2018-04-13
185,0.042,2018-04-20
186,0.112,2018-04-27
187,0.182,2018-05-04
188,0.126,2018-05-11
189,0.124,2018-05-18
190,0.028,2018-05-25
191,0.022,2018-06-01
192,0.062,2018-06-08
193,0.048,2018-06-15
194,0.01,2018-06-22
195,0.058,2018-06-29
196,0.036,2018-07-06
197,0.338,2018-07-13
198,0.11,2018-07-20
199,0.142,2018-07-27
200,0.004,2018-08-03
201,0.25,2018-08-10
202,0.01,2018-08-17
203,0.1,2018-08-24
204,0.018,2018-08-31
205,0.08,2018-09-07
206,0.136,2018-09-14
207,0.42,2018-09-21
208,0.102,2018-09-28
209,0.016,2018-10-12
210,0.026,2018-10-19
211,0.072,2018-10-26
212,0.658,2018-11-02
213,0.042,2018-11-09
214,0.048,2018-11-16
215,0.002,2018-11-23
216,0.08,2018-11-30
217,0.03,2018-12-07
218,0.072,2018-12-14
219,0.042,2018-12-21
220,0.046,2018-12-28
221,0.176,2019-01-04
222,0.214,2019-01-11
223,0.186,2019-01-18
224,0.044,2019-01-25
225,0.08,2019-02-01
226,0.24,2019-02-15
227,0.032,2019-02-22
228,0.002,2019-03-01
229,0.002,2019-03-08
230,0.018,2019-03-15
231,0.016,2019-03-22
232,0.054,2019-03-29
233,0.32,2019-04-04
234,0.028,2019-04-12
235,0.206,2019-04-19
236,0.022,2019-04-26
237,0.026,2019-04-30
238,0.05,2019-05-10
239,0.06,2019-05-17
240,0.058,2019-05-24
241,0.128,2019-05-31
242,0.028,2019-06-06
243,0.134,2019-06-14
244,0.536,2019-06-21
245,0.02,2019-06-28
246,0.014,2019-07-05
247,0.06,2019-07-12
248,0.066,2019-07-19
249,0.206,2019-07-26
250,0.076,2019-08-02
251,0.028,2019-08-09
252,0.108,2019-08-16
253,0.124,2019-08-23
254,0.176,2019-08-30
255,0.138,2019-09-06
256,0.03,2019-09-12
257,0.032,2019-09-20
258,0.036,2019-09-27
259,0.02,2019-09-30
260,0.18,2019-10-11
261,0.044,2019-10-18
262,0.196,2019-10-25
263,0.068,2019-11-01
264,0.078,2019-11-08
265,0.074,2019-11-15
266,0.12,2019-11-22
267,0.132,2019-11-29
268,0.314,2019-12-06
269,0.084,2019-12-13
270,0.08,2019-12-20
271,0.156,2019-12-27
272,0.182,2020-01-03
273,0.054,2020-01-10
274,0.006,2020-01-17
275,0.022,2020-01-23
276,0.172,2020-02-07
277,0.068,2020-02-14
278,0.386,2020-02-21
